Name,Slug,Size,Series,Collection,Category,Finish,Application,Catalog,Has Matching Floor
Alcazar Dark,alcazar-dark,300×450 mm,Alcazar,,Ceramic,Glossy,Wall,wall-300x450,
Alcazar HL,alcazar-hl,300×450 mm,Alcazar,,Ceramic,Glossy,Wall,wall-300x450,
Alcazar Light,alcazar-light,300×450 mm,Alcazar,,Ceramic,Glossy,Wall,wall-300x450,300×300 mm
Alderation Dark,alderation-dark,300×450 mm,Alderation,,Ceramic,Glossy,Wall,wall-300x450,
Alderation HL,alderation-hl,300×450 mm,Alderation,,Ceramic,Glossy,Wall,wall-300x450,
Alderation Light,alderation-light,300×450 mm,Alderation,,Ceramic,Glossy,Wall,wall-300x450,300×300 mm
Atlantica Dark,atlantica-dark,300×450 mm,Atlantica,,Ceramic,Glossy,Wall,wall-300x450,
Atlantica HL 01,atlantica-hl-01,300×450 mm,Atlantica,,Ceramic,Glossy,Wall,wall-300x450,
Atlantica HL 02,atlantica-hl-02,300×450 mm,Atlantica,,Ceramic,Glossy,Wall,wall-300x450,
Atlantica Light,atlantica-light,300×450 mm,Atlantica,,Ceramic,Glossy,Wall,wall-300x450,300×300 mm
Blossom Dark,blossom-dark,300×450 mm,Blossom,,Ceramic,Glossy,Wall,wall-300x450,
Blossom HL,blossom-hl,300×450 mm,Blossom,,Ceramic,Glossy,Wall,wall-300x450,
Blossom Light,blossom-light,300×450 mm,Blossom,,Ceramic,Glossy,Wall,wall-300x450,300×300 mm
Blue Mist Dark,blue-mist-dark,300×450 mm,Blue Mist,,Ceramic,Glossy,Wall,wall-300x450,
Blue Mist HL,blue-mist-hl,300×450 mm,Blue Mist,,Ceramic,Glossy,Wall,wall-300x450,
Blue Mist Light,blue-mist-light,300×450 mm,Blue Mist,,Ceramic,Glossy,Wall,wall-300x450,300×300 mm
Botany Dark,botany-dark,300×450 mm,Botany,,Ceramic,Glossy,Wall,wall-300x450,
Botany HL,botany-hl,300×450 mm,Botany,,Ceramic,Glossy,Wall,wall-300x450,
Botany Light,botany-light,300×450 mm,Botany,,Ceramic,Glossy,Wall,wall-300x450,300×300 mm
Calendula Venezia Dark,calendula-venezia-dark,300×450 mm,Calendula Venezia,,Ceramic,Glossy,Wall,wall-300x450,
Calendula Venezia HL 01,calendula-venezia-hl-01,300×450 mm,Calendula Venezia,,Ceramic,Glossy,Wall,wall-300x450,
Calendula Venezia HL 02,calendula-venezia-hl-02,300×450 mm,Calendula Venezia,,Ceramic,Glossy,Wall,wall-300x450,
Calendula Venezia Light,calendula-venezia-light,300×450 mm,Calendula Venezia,,Ceramic,Glossy,Wall,wall-300x450,300×300 mm
Centro Dark,centro-dark,300×450 mm,Centro,,Ceramic,Glossy,Wall,wall-300x450,
Centro HL,centro-hl,300×450 mm,Centro,,Ceramic,Glossy,Wall,wall-300x450,
Centro Light,centro-light,300×450 mm,Centro,,Ceramic,Glossy,Wall,wall-300x450,300×300 mm
Centro Matt Dark,centro-matt-dark,300×450 mm,Centro Matt,,Ceramic,Matt,Wall,wall-300x450,
Centro Matt HL,centro-matt-hl,300×450 mm,Centro Matt,,Ceramic,Matt,Wall,wall-300x450,
Centro Matt Light,centro-matt-light,300×450 mm,Centro Matt,,Ceramic,Matt,Wall,wall-300x450,300×300 mm
Collage Dark,collage-dark,300×450 mm,Collage,,Ceramic,Glossy,Wall,wall-300x450,
Collage HL,collage-hl,300×450 mm,Collage,,Ceramic,Glossy,Wall,wall-300x450,
Collage Light,collage-light,300×450 mm,Collage,,Ceramic,Glossy,Wall,wall-300x450,300×300 mm
Cubixa Dark,cubixa-dark,300×450 mm,Cubixa,,Ceramic,Glossy,Wall,wall-300x450,
Cubixa HL,cubixa-hl,300×450 mm,Cubixa,,Ceramic,Glossy,Wall,wall-300x450,
Cubixa Light,cubixa-light,300×450 mm,Cubixa,,Ceramic,Glossy,Wall,wall-300x450,300×300 mm
Daltrix Dark,daltrix-dark,300×450 mm,Daltrix,,Ceramic,Glossy,Wall,wall-300x450,
Daltrix HL,daltrix-hl,300×450 mm,Daltrix,,Ceramic,Glossy,Wall,wall-300x450,
Daltrix Light,daltrix-light,300×450 mm,Daltrix,,Ceramic,Glossy,Wall,wall-300x450,300×300 mm
Dark Ivory,dark-ivory,300×450 mm,Dark Ivory,,Ceramic,Glossy,Wall,wall-300x450,
Durben Dark,durben-dark,300×450 mm,Durben,,Ceramic,Glossy,Wall,wall-300x450,
Durben HL,durben-hl,300×450 mm,Durben,,Ceramic,Glossy,Wall,wall-300x450,
Durben Light,durben-light,300×450 mm,Durben,,Ceramic,Glossy,Wall,wall-300x450,300×300 mm
Caliber Beige,caliber-beige,300×450 mm,Elevation,,Ceramic,Matt,Elevation,wall-300x450,
Elenaz Blue,elenaz-blue,300×450 mm,Elevation,,Ceramic,Matt,Elevation,wall-300x450,
Elenaz Multi,elenaz-multi,300×450 mm,Elevation,,Ceramic,Matt,Elevation,wall-300x450,
Elenaz Teak,elenaz-teak,300×450 mm,Elevation,,Ceramic,Matt,Elevation,wall-300x450,
Star Mosaic,star-mosaic,300×450 mm,Elevation,,Ceramic,Matt,Elevation,wall-300x450,
Unser Cold,unser-cold,300×450 mm,Elevation,,Ceramic,Matt,Elevation,wall-300x450,
